country	date	daily_vaccinations	vaccines
Argentina	29.12.2020		Sputnik V
Argentina	30.12.2020	15656	Sputnik V
Argentina	31.12.2020	15656	Sputnik V
Argentina	1.01.2021	11070	Sputnik V
Argentina	1.02.2021	8776	Sputnik V
Argentina	1.03.2021	7400	Sputnik V
Argentina	1.04.2021	6483	Sputnik V
Argentina	1.05.2021	7984	Sputnik V
Argentina	1.06.2021	8173	Sputnik V
Argentina	1.07.2021	8363	Sputnik V
Argentina	1.08.2021	10519	Sputnik V
Argentina	1.09.2021	11942	Sputnik V
Argentina	1.10.2021	13365	Sputnik V
Argentina	1.11.2021	14788	Sputnik V
Argentina	1.12.2021	14056	Sputnik V
Argentina	13.01.2021	13323	Sputnik V
Argentina	14.01.2021	13320	Sputnik V
Argentina	15.01.2021	13317	Sputnik V
Argentina	16.01.2021	12971	Sputnik V
Argentina	17.01.2021	12624	Sputnik V
Argentina	18.01.2021	12278	Sputnik V
Argentina	19.01.2021	11932	Sputnik V
Argentina	20.01.2021	11586	Sputnik V
Argentina	21.01.2021	11704	Sputnik V
Argentina	22.01.2021	11263	Sputnik V
Argentina	23.01.2021	11124	Sputnik V
Argentina	24.01.2021	10342	Sputnik V
Argentina	25.01.2021	9046	Sputnik V
Austria	26.01.2021		Pfizer/BioNTech
Austria	27.01.2021	3368	Pfizer/BioNTech
Austria	28.01.2021	3368	Pfizer/BioNTech
Austria	29.01.2021	7263	Pfizer/BioNTech
Austria	30.01.2021	5791	Pfizer/BioNTech
Austria	31.01.2021	4705	Pfizer/BioNTech
Austria	1.02.2021	5031	Pfizer/BioNTech
Austria	2.02.2021	6366	Pfizer/BioNTech
Austria	3.02.2021	7365	Pfizer/BioNTech
Austria	4.02.2021	8429	Pfizer/BioNTech
Austria	5.02.2021	7747	Pfizer/BioNTech
Austria	6.02.2021	7953	Pfizer/BioNTech
Austria	7.02.2021	10129	Pfizer/BioNTech
Austria	8.02.2021	11852	Pfizer/BioNTech
Austria	9.02.2021	12472	Pfizer/BioNTech
Austria	10.02.2021	12489	Pfizer/BioNTech
Austria	11.02.2021	12552	Pfizer/BioNTech
Austria	12.02.2021	11797	Pfizer/BioNTech
Austria	13.02.2021	11765	Pfizer/BioNTech
Austria	14.02.2021	9622	Pfizer/BioNTech
Bahrain	15.02.2021		Pfizer/BioNTech, Sinopharm
Bahrain	16.02.2021	11106	Pfizer/BioNTech, Sinopharm
Bahrain	17.02.2021	5789	Pfizer/BioNTech, Sinopharm
Bahrain	18.02.2021	4197	Pfizer/BioNTech, Sinopharm
Bahrain	19.02.2021	3662	Pfizer/BioNTech, Sinopharm
Bahrain	20.02.2021	3210	Pfizer/BioNTech, Sinopharm
Bahrain	21.02.2021	2846	Pfizer/BioNTech, Sinopharm
Bahrain	22.02.2021	2622	Pfizer/BioNTech, Sinopharm
Bahrain	23.02.2021	1225	Pfizer/BioNTech, Sinopharm
Bahrain	24.02.2021	1258	Pfizer/BioNTech, Sinopharm
Bahrain	25.02.2021	1220	Pfizer/BioNTech, Sinopharm
Bahrain	26.02.2021	1011	Pfizer/BioNTech, Sinopharm
